Ampara,2014,1	318.0,24.59
Ampara,2014,10	299.0,26.48
Ampara,2014,11	342.0,25.61
Ampara,2014,12	489.0,24.83
Ampara,2014,2	126.0,25.29
Ampara,2014,3	118.0,26.53
Ampara,2014,4	96.0,27.94
Ampara,2014,5	121.0,28.22
Ampara,2014,6	31.0,29.92
Ampara,2014,7	20.0,30.26
Ampara,2014,8	86.0,28.63
Ampara,2014,9	104.0,28.07
Ampara,2015,1	144.0,25.13
Ampara,2015,10	323.0,26.54
Ampara,2015,11	348.0,25.77
Ampara,2015,12	440.0,25.57
Ampara,2015,2	297.0,24.87
Ampara,2015,3	179.0,26.07
Ampara,2015,4	176.0,27.2
Ampara,2015,5	117.0,28.12
Ampara,2015,6	79.0,28.8
Ampara,2015,7	40.0,29.38
Ampara,2015,8	66.0,28.89
Ampara,2015,9	101.0,28.06
Ampara,2016,1	176.0,25.63
Ampara,2016,10	123.0,28.8
Ampara,2016,11	318.0,25.8
Ampara,2016,12	186.0,25.52
Ampara,2016,2	173.0,26.28
Ampara,2016,3	135.0,27.33
Ampara,2016,4	95.0,28.88
Ampara,2016,5	193.0,28.27
Ampara,2016,6	35.0,29.27
Ampara,2016,7	72.0,29.35
Ampara,2016,8	41.0,29.39
Ampara,2016,9	29.0,29.4
Ampara,2017,1	252.0,24.32
Ampara,2017,10	183.0,27.68
Ampara,2017,11	354.0,25.61
Ampara,2017,12	267.0,25.21
Ampara,2017,2	198.0,24.65
Ampara,2017,3	184.0,26.23
Ampara,2017,4	84.0,28.06
Ampara,2017,5	107.0,28.89
Ampara,2017,6	56.0,29.93
Ampara,2017,7	71.0,30.35
Ampara,2017,8	89.0,29.6
Ampara,2017,9	121.0,28.11
Ampara,2018,1	151.0,24.4
Ampara,2018,10	376.0,26.09
Ampara,2018,11	436.0,25.57
Ampara,2018,12	331.0,25.04
Ampara,2018,2	225.0,24.81
Ampara,2018,3	263.0,26.1
Ampara,2018,4	218.0,26.83
Ampara,2018,5	161.0,27.1
Ampara,2018,6	68.0,28.4
Ampara,2018,7	52.0,29.85
Ampara,2018,8	57.0,29.81
Ampara,2018,9	129.0,29.03
Ampara,2019,1	250.0,24.76
Ampara,2019,10	394.0,25.71
Ampara,2019,11	395.0,26.0
Ampara,2019,12	508.0,25.28
Ampara,2019,2	365.0,25.74
Ampara,2019,3	131.0,26.77
Ampara,2019,4	142.0,28.14
Ampara,2019,5	64.0,30.05
Ampara,2019,6	65.0,30.73
Ampara,2019,7	68.0,30.31
Ampara,2019,8	101.0,29.41
Ampara,2019,9	193.0,27.97
Ampara,2020,1	297.0,25.42
Ampara,2020,10	123.0,28.96
Ampara,2020,11	412.0,26.2
Ampara,2020,12	407.0,25.22
Ampara,2020,2	212.0,25.75
Ampara,2020,3	76.0,27.01
Ampara,2020,4	205.0,28.2
Ampara,2020,5	169.0,28.67
Ampara,2020,6	81.0,29.36
Ampara,2020,7	107.0,28.73
Ampara,2020,8	52.0,29.79
Ampara,2020,9	126.0,28.5
Ampara,2021,1	425.0,24.88
Ampara,2021,10	211.0,27.12
Ampara,2021,11	323.0,25.63
Ampara,2021,12	269.0,25.23
Ampara,2021,2	235.0,25.2
Ampara,2021,3	247.0,26.04
Ampara,2021,4	158.0,27.39
Ampara,2021,5	188.0,28.04
Ampara,2021,6	82.0,28.86
Ampara,2021,7	101.0,29.12
Ampara,2021,8	115.0,28.74
