year,month,week,weekly_max_temp
2010,1,1,30.5
2010,1,2,31.1
2010,1,3,31.4
2010,1,4,33.2
2010,1,53,30.1
2010,2,5,32.6
2010,2,6,33.7
2010,2,7,35.3
2010,2,8,36.5
2010,3,9,36.1
2010,3,10,36.7
2010,3,11,37.2
2010,3,12,36.6
2010,3,13,33.9
2010,4,13,36.1
2010,4,14,35.8
2010,4,15,36.3
2010,4,16,35.3
2010,4,17,33.3
2010,5,17,32.5
2010,5,18,33.8
2010,5,19,34.6
2010,5,20,35.0
2010,5,21,35.5
2010,5,22,35.5
2010,6,22,37.0
2010,6,23,34.1
2010,6,24,35.3
2010,6,25,35.6
2010,6,26,34.3
2010,7,26,34.4
2010,7,27,35.1
2010,7,28,34.3
2010,7,29,35.0
2010,7,30,35.5
2010,8,30,35.5
2010,8,31,35.3
2010,8,32,36.0
2010,8,33,34.3
2010,8,34,33.0
2010,8,35,32.8
2010,9,35,35.3
2010,9,36,34.7
2010,9,37,34.1
2010,9,38,34.2
2010,9,39,31.9
2010,10,39,31.6
2010,10,40,32.3
2010,10,41,33.7
2010,10,42,34.5
2010,10,43,36.2
2010,11,44,32.2
2010,11,45,31.6
2010,11,46,30.7
2010,11,47,30.1
2010,11,48,30.3
2010,12,48,28.8
2010,12,49,30.1
2010,12,50,30.4
2010,12,51,29.8
2010,12,52,28.3
2011,1,1,28.8
2011,1,2,29.0
2011,1,3,29.9
2011,1,4,29.9
2011,1,5,28.0
2011,1,52,28.8
2011,2,5,28.5
2011,2,6,30.1
2011,2,7,31.2
2011,2,8,31.7
2011,2,9,30.9
2011,3,9,32.0
2011,3,10,33.8
2011,3,11,33.5
2011,3,12,33.4
2011,3,13,35.7
2011,4,13,35.7
2011,4,14,35.2
2011,4,15,33.0
2011,4,16,32.2
2011,4,17,33.1
2011,5,17,32.0
2011,5,18,34.0
2011,5,19,35.2
2011,5,20,35.7
2011,5,21,35.4
2011,5,22,33.9
2011,6,22,35.1
2011,6,23,35.2
2011,6,24,35.5
2011,6,25,36.4
2011,6,26,37.0
2011,7,26,35.4
2011,7,27,35.6
2011,7,28,34.6
2011,7,29,35.3
2011,7,30,34.2
2011,8,31,35.5
2011,8,32,35.4
2011,8,33,33.6
2011,8,34,34.5
2011,8,35,34.2
2011,9,35,35.0
2011,9,36,35.4
2011,9,37,35.7
2011,9,38,36.3
2011,9,39,36.8
2011,10,39,36.2
2011,10,40,36.4
2011,10,41,34.9
2011,10,42,32.6
2011,10,43,30.5
2011,10,44,28.2
2011,11,44,30.8
2011,11,45,30.8
2011,11,46,30.9
2011,11,47,30.6
2011,11,48,30.5
2011,12,48,30.6
2011,12,49,30.5
2011,12,50,30.3
2011,12,51,29.4
2011,12,52,30.2
2012,1,1,30.8
2012,1,2,30.4
2012,1,3,29.9
2012,1,4,32.0
2012,1,5,32.2
2012,1,52,29.5
2012,2,5,33.1
2012,2,6,32.4
2012,2,7,32.3
2012,2,8,32.8
2012,2,9,32.9
2012,3,9,34.5
2012,3,10,35.0
2012,3,11,34.3
2012,3,12,35.8
2012,3,13,34.8
2012,4,13,32.4
2012,4,14,34.2
2012,4,15,33.8
2012,4,16,35.0
2012,4,17,33.2
2012,4,18,33.7
2012,5,18,35.4
2012,5,19,37.1
2012,5,20,37.4
2012,5,21,36.2
2012,5,22,36.4
2012,6,22,36.5
2012,6,23,37.3
2012,6,24,36.5
2012,6,25,35.6
2012,6,26,36.5
2012,7,26,34.9
2012,7,27,36.6
2012,7,28,37.4
2012,7,29,35.3
2012,7,30,35.5
2012,7,31,36.4
2012,8,31,35.8
2012,8,32,37.0
2012,8,33,35.8
2012,8,34,36.1
2012,8,35,35.3
2012,9,35,35.2
2012,9,36,35.8
2012,9,37,35.8
2012,9,38,36.9
2012,9,39,35.6
2012,10,40,38.1
2012,10,41,35.9
2012,10,42,31.3
2012,10,43,30.9
2012,10,44,29.0
2012,11,44,31.6
2012,11,45,30.7
2012,11,46,30.6
2012,11,47,31.1
2012,11,48,30.1
2012,12,1,30.3
2012,12,48,29.4
2012,12,49,30.4
2012,12,50,30.5
2012,12,51,30.3
2012,12,52,30.7
2013,1,1,29.6
2013,1,2,29.6
2013,1,3,31.2
2013,1,4,31.6
2013,1,5,32.2
2013,2,5,32.8
2013,2,6,32.2
2013,2,7,30.4
2013,2,8,31.2
2013,2,9,32.2
2013,3,9,33.4
2013,3,10,32.2
2013,3,11,32.3
2013,3,12,32.7
2013,3,13,34.6
2013,4,14,36.5
2013,4,15,36.0
2013,4,16,36.2
2013,4,17,34.8
2013,4,18,34.8
2013,5,18,34.6
2013,5,19,35.7
2013,5,20,36.3
2013,5,21,35.2
2013,5,22,35.2
2013,6,22,33.0
2013,6,23,34.3
2013,6,24,34.6
2013,6,25,34.5
2013,6,26,34.5
2013,7,27,34.1
2013,7,28,33.9
2013,7,29,34.5
2013,7,30,34.5
2013,7,31,36.2
2013,8,31,35.3
2013,8,32,34.7
2013,8,33,34.7
2013,8,34,35.0
2013,8,35,37.5
2013,9,35,33.2
2013,9,36,33.1
2013,9,37,33.4
2013,9,38,34.7
2013,9,39,36.5
2013,9,40,35.2
2013,10,40,36.0
2013,10,41,35.3
2013,10,42,35.9
2013,10,43,32.8
2013,10,44,33.2
2013,11,44,31.2
2013,11,45,31.0
2013,11,46,31.5
2013,11,47,30.9
2013,11,48,30.7
2013,12,1,31.3
2013,12,48,28.1
2013,12,49,30.1
2013,12,50,30.7
2013,12,51,30.0
2013,12,52,30.3
2014,1,1,31.3
2014,1,2,30.6
2014,1,3,31.6
2014,1,4,32.4
2014,1,5,32.5
2014,2,5,33.4
2014,2,6,33.5
2014,2,7,33.9
2014,2,8,35.9
2014,2,9,35.5
2014,3,9,34.9
2014,3,10,34.3
2014,3,11,36.5
2014,3,12,36.2
2014,3,13,37.2
2014,3,14,37.0
2014,4,14,37.2
2014,4,15,35.2
2014,4,16,35.6
2014,4,17,35.1
2014,4,18,34.6
2014,5,18,31.5
2014,5,19,32.2
2014,5,20,33.8
2014,5,21,34.8
2014,5,22,35.2
2014,6,22,35.5
2014,6,23,35.4
2014,6,24,36.1
2014,6,25,36.2
2014,6,26,36.1
2014,6,27,33.8
2014,7,27,36.1
2014,7,28,35.1
2014,7,29,35.7
2014,7,30,36.6
2014,7,31,36.8
2014,8,31,36.1
2014,8,32,36.3
2014,8,33,34.2
2014,8,34,34.3
2014,8,35,34.4
2014,9,36,34.9
2014,9,37,35.7
2014,9,38,36.9
2014,9,39,37.2
2014,9,40,31.5
2014,10,40,32.4
2014,10,41,33.5
2014,10,42,33.4
2014,10,43,31.3
2014,10,44,31.0
2014,11,44,30.7
2014,11,45,31.6
2014,11,46,30.7
2014,11,47,30.4
2014,11,48,30.2
2014,12,1,30.1
2014,12,49,29.9
2014,12,50,30.7
2014,12,51,30.4
2014,12,52,27.5
2015,1,1,30.8
2015,1,2,30.6
2015,1,3,32.2
2015,1,4,32.5
2015,1,5,33.2
2015,2,5,31.8
2015,2,6,32.8
2015,2,7,32.7
2015,2,8,34.7
2015,2,9,32.7
2015,3,9,31.1
2015,3,10,33.5
2015,3,11,34.0
2015,3,12,35.0
2015,3,13,35.2
2015,3,14,33.1
2015,4,14,35.1
2015,4,15,34.3
2015,4,16,33.0
2015,4,17,32.9
2015,4,18,32.8
2015,5,18,34.3
2015,5,19,33.1
2015,5,20,32.1
2015,5,21,34.1
2015,5,22,34.3
2015,6,23,34.8
2015,6,24,35.4
2015,6,25,34.6
2015,6,26,35.8
2015,6,27,33.2
2015,7,27,35.1
2015,7,28,35.5
2015,7,29,36.0
2015,7,30,34.3
2015,7,31,36.4
2015,8,31,35.1
2015,8,32,35.4
2015,8,33,36.2
2015,8,34,34.1
2015,8,35,35.5
2015,8,36,36.0
2015,9,36,37.0
2015,9,37,34.2
2015,9,38,34.9
2015,9,39,35.8
2015,9,40,32.1
2015,10,40,33.3
2015,10,41,34.1
2015,10,42,33.0
2015,10,43,31.4
2015,10,44,30.7
2015,11,44,30.2
2015,11,45,30.8
2015,11,46,31.0
2015,11,47,30.9
2015,11,48,31.2
2015,11,49,29.1
2015,12,49,30.9
2015,12,50,30.7
2015,12,51,31.2
2015,12,52,30.8
2015,12,53,31.2
2016,1,1,31.8
2016,1,2,32.3
2016,1,3,33.4
2016,1,4,33.6
2016,1,53,31.0
2016,2,5,34.3
2016,2,6,35.3
2016,2,7,34.2
2016,2,8,35.1
2016,2,9,35.2
2016,3,9,35.9
2016,3,10,35.9
2016,3,11,37.0
2016,3,12,37.4
2016,3,13,34.9
2016,4,13,36.0
2016,4,14,35.5
2016,4,15,36.4
2016,4,16,37.8
2016,4,17,38.0
2016,5,17,34.9
2016,5,18,35.9
2016,5,19,33.8
2016,5,20,33.6
2016,5,21,34.1
2016,5,22,33.1
2016,6,22,33.9
2016,6,23,33.7
2016,6,24,34.6
2016,6,25,35.0
2016,6,26,35.6
2016,7,26,37.6
2016,7,27,36.7
2016,7,28,36.7
2016,7,29,35.6
2016,7,30,34.8
2016,8,31,35.9
2016,8,32,36.8
2016,8,33,36.0
2016,8,34,35.7
2016,8,35,34.1
2016,9,35,33.7
2016,9,36,35.6
2016,9,37,36.1
2016,9,38,36.0
2016,9,39,35.8
2016,10,39,35.6
2016,10,40,36.1
2016,10,41,37.5
2016,10,42,35.8
2016,10,43,35.1
2016,10,44,30.4
2016,11,44,31.1
2016,11,45,31.9
2016,11,46,31.0
2016,11,47,31.0
2016,11,48,29.4
2016,12,48,30.8
2016,12,49,31.5
2016,12,50,32.1
2016,12,51,30.9
2016,12,52,31.6
2017,1,1,32.5
2017,1,2,34.6
2017,1,3,35.0
2017,1,4,31.6
2017,1,5,31.2
2017,1,52,32.2
2017,2,5,31.5
2017,2,6,34.5
2017,2,7,35.6
2017,2,8,36.2
2017,2,9,33.3
2017,3,9,32.7
2017,3,10,33.6
2017,3,11,34.0
2017,3,12,35.9
2017,3,13,35.6
2017,4,13,35.3
2017,4,14,37.0
2017,4,15,38.4
2017,4,16,38.8
2017,4,17,39.3
2017,5,18,37.1
2017,5,19,35.5
2017,5,20,37.8
2017,5,21,37.6
2017,5,22,37.1
2017,6,22,36.1
2017,6,23,38.9
2017,6,24,38.9
2017,6,25,36.7
2017,6,26,39.1
2017,7,26,38.4
2017,7,27,39.1
2017,7,28,38.4
2017,7,29,39.5
2017,7,30,39.1
2017,7,31,36.7
2017,8,31,36.7
2017,8,32,36.8
2017,8,33,36.9
2017,8,34,38.4
2017,8,35,38.1
2017,9,35,36.5
2017,9,36,34.2
2017,9,37,35.4
2017,9,38,37.6
2017,9,39,37.8
2017,10,39,36.4
2017,10,40,36.7
2017,10,41,35.1
2017,10,42,36.0
2017,10,43,36.7
2017,10,44,30.5
2017,11,44,30.9
2017,11,45,32.3
2017,11,46,32.7
2017,11,47,30.7
2017,11,48,29.9
2017,12,48,30.1
2017,12,49,31.1
2017,12,50,31.9
2017,12,51,31.2
2017,12,52,32.1
2018,1,1,32.7
2018,1,2,32.7
2018,1,3,33.1
2018,1,4,34.6
2018,1,5,35.0
2018,2,5,33.6
2018,2,6,33.6
2018,2,7,35.1
2018,2,8,36.0
2018,2,9,32.7
2018,3,9,34.7
2018,3,10,34.9
2018,3,11,34.9
2018,3,12,37.0
2018,3,13,35.6
2018,4,13,35.9
2018,4,14,36.4
2018,4,15,33.9
2018,4,16,36.4
2018,4,17,37.9
2018,4,18,37.5
2018,5,18,38.6
2018,5,19,34.1
2018,5,20,33.4
2018,5,21,32.2
2018,5,22,33.9
2018,6,22,33.5
2018,6,23,34.2
2018,6,24,35.0
2018,6,25,35.8
2018,6,26,37.3
2018,7,26,35.7
2018,7,27,37.2
2018,7,28,37.3
2018,7,29,39.4
2018,7,30,38.2
2018,7,31,36.7
2018,8,31,37.8
2018,8,32,38.4
2018,8,33,36.8
2018,8,34,38.8
2018,8,35,38.3
2018,9,35,37.4
2018,9,36,39.3
2018,9,37,38.5
2018,9,38,38.7
2018,9,39,33.7
2018,10,40,31.0
2018,10,41,33.1
2018,10,42,31.4
2018,10,43,31.0
2018,10,44,32.4
2018,11,44,31.8
2018,11,45,31.1
2018,11,46,32.8
2018,11,47,31.1
2018,11,48,31.2
2018,12,1,30.3
2018,12,48,31.3
2018,12,49,31.5
2018,12,50,30.9
2018,12,51,31.0
2018,12,52,31.4
2019,1,1,32.2
2019,1,2,34.2
2019,1,3,33.3
2019,1,4,34.9
2019,1,5,35.7
2019,2,5,36.0
2019,2,6,33.8
2019,2,7,32.8
2019,2,8,33.4
2019,2,9,33.3
2019,3,9,34.6
2019,3,10,37.0
2019,3,11,36.6
2019,3,12,37.2
2019,3,13,38.5
2019,4,14,37.7
2019,4,15,38.0
2019,4,16,36.4
2019,4,17,36.5
2019,4,18,34.3
2019,5,18,37.7
2019,5,19,38.8
2019,5,20,38.3
2019,5,21,37.4
2019,5,22,38.3
2019,6,22,37.8
2019,6,23,38.1
2019,6,24,38.4
2019,6,25,38.9
2019,6,26,39.1
2019,7,27,39.8
2019,7,28,38.4
2019,7,29,37.6
2019,7,30,38.8
2019,7,31,39.7
2019,8,31,37.5
2019,8,32,38.5
2019,8,33,36.6
2019,8,34,35.3
2019,8,35,37.6
2019,9,35,35.2
2019,9,36,38.0
2019,9,37,37.9
2019,9,38,35.8
2019,9,39,33.3
2019,9,40,32.4
2019,10,40,33.0
2019,10,41,32.5
2019,10,42,31.9
2019,10,43,31.4
2019,10,44,30.1
2019,11,44,31.8
2019,11,45,32.3
2019,11,46,32.2
2019,11,47,31.9
2019,11,48,32.0
2019,12,1,31.6
2019,12,48,29.8
2019,12,49,31.2
2019,12,50,31.5
2019,12,51,31.0
2019,12,52,31.4
2020,1,1,32.3
2020,1,2,33.2
2020,1,3,34.0
2020,1,4,35.0
2020,1,5,34.8
2020,2,5,35.2
2020,2,6,35.6
2020,2,7,36.4
2020,2,8,36.4
2020,2,9,37.1
2020,3,9,36.0
2020,3,10,36.7
2020,3,11,37.0
2020,3,12,36.6
2020,3,13,36.7
2020,3,14,35.8
2020,4,14,37.8
2020,4,15,36.6
2020,4,16,35.7
2020,4,17,36.3
2020,4,18,36.0
2020,5,18,36.7
2020,5,19,36.4
2020,5,20,34.5
2020,5,21,36.6
2020,5,22,37.3
2020,6,23,36.6
2020,6,24,38.1
2020,6,25,38.5
2020,6,26,36.9
2020,6,27,35.3
2020,7,27,36.1
2020,7,28,37.5
2020,7,29,35.8
2020,7,30,34.5
2020,7,31,35.9
2020,8,31,36.6
2020,8,32,37.3
2020,8,33,38.4
2020,8,34,38.0
2020,8,35,38.8
2020,8,36,36.4
2020,9,36,35.9
2020,9,37,35.7
2020,9,38,36.9
2020,9,39,36.5
2020,9,40,35.0
2020,10,40,37.2
2020,10,41,39.3
2020,10,42,38.8
2020,10,43,38.8
2020,10,44,36.7
2020,11,44,34.0
2020,11,45,34.6
2020,11,46,31.7
2020,11,47,32.2
2020,11,48,32.3
2020,11,49,32.3
2020,12,49,32.0
2020,12,50,32.2
2020,12,51,31.1
2020,12,52,30.9
2020,12,53,30.9
2021,1,1,30.8
2021,1,2,30.6
2021,1,3,31.1
2021,1,4,31.8
2021,1,53,30.7
2021,2,5,31.3
2021,2,6,33.2
2021,2,7,34.8
2021,2,8,36.3
2021,3,9,36.2
2021,3,10,34.6
2021,3,11,35.2
2021,3,12,34.6
2021,3,13,36.1
2021,4,13,37.8
2021,4,14,36.4
2021,4,15,33.2
2021,4,16,34.5
2021,4,17,34.9
2021,5,17,33.1
2021,5,18,33.1
2021,5,19,34.3
2021,5,20,34.5
2021,5,21,37.2
2021,5,22,37.2
2021,6,22,36.5
2021,6,23,35.2
2021,6,24,37.4
2021,6,25,37.8
2021,6,26,37.1
2021,7,26,36.8
2021,7,27,37.2
2021,7,28,37.4
2021,7,29,37.0
2021,7,30,38.1
2021,8,30,37.3
2021,8,31,38.2
2021,8,32,35.2
2021,8,33,37.7
2021,8,34,35.5
2021,8,35,36.3
2021,9,35,35.3
2021,9,36,37.3
2021,9,37,37.8
2021,9,38,37.4
2021,9,39,35.9
2021,10,39,32.5
2021,10,40,35.0
2021,10,41,35.5
2021,10,42,35.8
2021,10,43,32.3
2021,11,44,31.6
2021,11,45,32.0
2021,11,46,33.5
2021,11,47,31.5
2021,11,48,29.6
2021,12,48,31.6
2021,12,49,32.2
2021,12,50,31.1
2021,12,51,32.3
2021,12,52,33.6
2022,1,1,32.6
2022,1,2,33.9
2022,1,3,33.8
2022,1,4,34.6
2022,1,5,31.9
2022,1,52,31.3
2022,2,5,34.8
2022,2,6,34.9
2022,2,7,33.7
2022,2,8,34.7
2022,2,9,34.7
2022,3,9,34.9
2022,3,10,35.5
2022,3,11,34.2
